name,category,state,lga,coords[]+,coords[]+,latitude+,longitude+,description
LA0103024,pollbooth,LA,1,6.61570322,3.317992606,6.61570322,3.317992606,"THE PU IS LOCATED AT HOUSE 6 OF AKINSULI STREET, ONIWAYA IN AGEGE LAGOS STATE."
LA0103025,pollbooth,LA,1,6.618189851,3.32009642,6.618189851,3.32009642,"THE PU IS LOCATED AT HOUSE 10 OF OGUNWO STREET, ONIWAYA IN AGEGE LAGOS STATE."
LA0103026,pollbooth,LA,1,6.618157011,3.320195231,6.618157011,3.320195231,"THE PU IS LOCATED AT HOUSE 8 OF OGUNWO STREET, ONIWAYA IN AGEGE LAGOS STATE."
LA0103027,pollbooth,LA,1,6.620870951,3.318894169,6.620870951,3.318894169,"THE PU IS LOCATED AT HOUSE 6 OF AKINJOBI STREET, MORICAS IN AGEGE LAGOS STATE."
LA0103028,pollbooth,LA,1,6.620792027,3.319482296,6.620792027,3.319482296,"THE PU IS LOCATED AT HOUSE 28 OF APATA STREET BY OWO STREET, MORICAS IN AGEGE LAGOS STATE."
LA0103029,pollbooth,LA,1,6.620533993,3.319453958,6.620533993,3.319453958,"THE PU IS LOCATED AT HOUSE 25/27 OF APATA STREET, OKE-KOTO IN AGEGE LAGOS STATE."
LA0103030,pollbooth,LA,1,6.618767903,3.319408526,6.618767903,3.319408526,"THE PU IS LOCATED AT HOUSE 20 OF TAIWO DADA STREET, IN AGEGE LAGOS STATE."
LA0103031,pollbooth,LA,1,6.618359121,3.319126069,6.618359121,3.319126069,"THE PU IS LOCATED AT HOUSE 16 OF DANIYAN STREET, MORICAS AREA IN AGEGE LAGOS STATE."
LA0103032,pollbooth,LA,1,6.615825073,3.316946464,6.615825073,3.316946464,"THE PU IS LOCATED AT A SHOP AT 24 KADIRI STREET BESIDE SELECIAL CHURCH UNDER CONSTRUCTION, IN ONIWAYA IN AGEGE LAGOS STATE."
LA0103033,pollbooth,LA,1,6.614743176,3.315088068,6.614743176,3.315088068,"THE PU IS LOCATED AT HOUSE 33/35 OF ADESOKAN STREET OPP. FOURSQUARE GOSPEL CHURCH ALONG ADESOKAN STREET, ONIWAYA IN AGEGE LAGOS STATE."
LA0103034,pollbooth,LA,1,6.614904311,3.312599626,6.614904311,3.312599626,"THE PU IS LOCATED AT HOUSE 134 OF DOPEMU ROAD, DOPEMU IN AGEGE LAGOS STATE."
LA0103035,pollbooth,LA,1,6.623905837,3.313540134,6.623905837,3.313540134,"THE PU IS LOCATED AT HOUSE 5/8 OF BOLAJI STREET, MORICASS AREA IN AGEGE LAGOS STATE."
LA0103036,pollbooth,LA,1,6.623886835,3.313539044,6.623886835,3.313539044,"THE PU IS LOCATED AT HOUSE 8 OF BOLAJI STREET, MORICASS AREA IN AGEGE LAGOS STATE."
LA0103037,pollbooth,LA,1,6.623296319,3.314676449,6.623296319,3.314676449,"THE PU IS LOCATED AT HOUSE 13 OF OGUNJIMI STREET, MORICASS AREA IN AGEGE LAGOS STATE."
LA0103038,pollbooth,LA,1,6.623418488,3.31396862,6.623418488,3.31396862,"THE PU IS LOCATED AT HOUSE 3 OF ADEYINKA OSHO STREET,MORICASS AREA IN AGEGE LAGOS STATE."
LA0103039,pollbooth,LA,1,6.619130222,3.314796345,6.619130222,3.314796345,"THE PU IN LOCATED AT HOUSE 35 OF ALOWONLE STREET, PAPA ASHAFA IN AGEGE LAGOS STATE."
LA0103040,pollbooth,LA,1,6.620675707,3.31340705,6.620675707,3.31340705,"THE PU IS LOCATED AT HOUSE 9 OF SHODIPO STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0103041,pollbooth,LA,1,6.618210691,3.313985931,6.618210691,3.313985931,"THE PU IS LOCATED AT HOUSE 7 OF OLUWO STREET OFF ALHAJA SIFAWU STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0103042,pollbooth,LA,1,6.618849778,3.314658931,6.618849778,3.314658931,"THE PU IS LOCATED AT HOUSE 2 OF FEMI-ANJORIN STREET, PAPA ASHAFA IN AGEGE LAGOS STATE."
LA0103043,pollbooth,LA,1,6.617274298,3.315524931,6.617274298,3.315524931,"THE PU IS LOCATED AT JULI INTERNATIONL SCHOOL, DAYCARE,NURSERY,PRIMARY & COLLEGE AT NO 16 ALHAJA SHIFAU STREET, IN AGEGE LAGOS STATE."
LA0103044,pollbooth,LA,1,6.619899271,3.316388512,6.619899271,3.316388512,"THE PU IS LOCATED AT HOUSE 1 OF IMAM-OJOKU STREET NEAR A MOSQUE ALONG ORIRETAN STREET, MORICASS AREA IN AGEGE LAGOS STATE."
LA0103045,pollbooth,LA,1,6.618903848,3.315250168,6.618903848,3.315250168,"THE PU IS LOCATED AT IN FRONT OF HOUSE 22 OF IMAM-OJOKU STREET, MORICASS AREA IN AGEGE LAGOS STATE."
LA0103046,pollbooth,LA,1,6.619569599,3.315304078,6.619569599,3.315304078,"THE PU IS LOCATED AT HOUSE 1 OF BANKOLE STREET BY ALOBA STREET JUNCTION, MORICASS AREA IN AGEGE LAGOS STATE."
LA0103047,pollbooth,LA,1,6.619835913,3.314947307,6.619835913,3.314947307,"THE PU IS LOCATED AT IN FRONT OF A SHOP BESIDE HOUSE 4 OF ALOBA STREET BY JINADU STREET,MORICASS AREA IN AGEGE VLAGOS STATE."
LA0103048,pollbooth,LA,1,6.617677619,3.316211608,6.617677619,3.316211608,"THE PU IS LOCATED AT HOUSE 23 OF TIJANI STREET, MORICASS AREA IN AGEGE LAGOS STATE."
LA0103049,pollbooth,LA,1,6.616490864,3.315833101,6.616490864,3.315833101,"THE PU IS LOCATED AT HOUSE 41 OF AWORI STREET, ONIWAYA IN AGEGE LAGOS STATE."
LA0103050,pollbooth,LA,1,6.614594691,3.314231426,6.614594691,3.314231426,"THE PU IS LOCATED AT HOUSE 77 OF AWORI STREET, ONIWAYA IN AGEGE LAGOS STATE."
LA0103051,pollbooth,LA,1,6.616869589,3.31737916,6.616869589,3.31737916,"THE PU IS LOCATED AT IN FRONT OF HOUSE 22 OF YEKINI STREET, SARUMI ALAWO OFF ONIWAYA IN AGEGE LAGOS STATE."
LA0103052,pollbooth,LA,1,6.617193105,3.318716047,6.617193105,3.318716047,"THE PU IS LOCATED AT HOUSE 1A/3 OF SARUMI-ALAWO STREET BESIDE A MOSQUE AT SARUMI-ALAWO STREET, MORICAS AREA IN AGEGE LAGOS STATE."
LA0103053,pollbooth,LA,1,6.616258367,3.316537207,6.616258367,3.316537207,"THE PU IS LOCATED AT HOUSE 32 OF KADIRI STREET, ONIWAYA IN AGEGE LAGOS STATE."
LA0103054,pollbooth,LA,1,6.616172927,3.316558815,6.616172927,3.316558815,"THE PU IS LOCATED AT HOUSE 30 OF KADIRI STREET, ONIWAYA IN AGEGE LAGOS STATE."
